"Collection.code"	"Collected.by"	"DateCollected.Start."	"Locality.Name"	"District"	"State.Prov"	"Country"	"LocLatitude"	"LocLongitude"	"X.Species.Genus"	"Species.groups"	"SpeciesName"
"NMH000831"	"N. Macías"	"12/22/2006"	"Torre del Gaitero"	"Arafo"	"Tenerife"	"Canary Islands"	28.394697	-16.431984	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000870"	"N. Macías & S. de la Cruz"	"12/25/2006"	"Orticosa. Choza de la Loca"	"Arafo"	"Tenerife"	"Canary Islands"	28.384498	-16.44741	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000871"	"N. Macías & S. de la Cruz"	"12/25/2006"	"Orticosa. Choza de la Loca"	"Arafo"	"Tenerife"	"Canary Islands"	28.384498	-16.44741	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000880"	"N. Macías & S. de la Cruz"	"12/25/2006"	"Orticosa. Choza de la Loca"	"Arafo"	"Tenerife"	"Canary Islands"	28.384498	-16.44741	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000881"	"N. Macías & S. de la Cruz"	"12/25/2006"	"Orticosa. Choza de la Loca"	"Arafo"	"Tenerife"	"Canary Islands"	28.384498	-16.44741	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000920"	"N. Macías & M. Arnedo"	"1/13/2007"	"Cruz del Carmen (Sendero restaurante)"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.531925	-16.279999	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000924"	"N. Macías & M. Arnedo"	"1/13/2007"	"Cruz del Carmen (Sendero restaurante)"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.531925	-16.279999	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000990"	"H. López"	"2/2/2006"	"Por encima del Contador"	"Arico"	"Tenerife"	"Canary Islands"	28.197701	-16.531151	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001000"	"N. Macías"	"1/25/2007"	"Barranco del Agua"	"Güímar"	"Tenerife"	"Canary Islands"	28.307838	-16.448156	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001048"	"GIET"	"10/27/2005"	"Barranco de los Cochinos. Monte del Agua"	"Los Silos"	"Tenerife"	"Canary Islands"	28.32455	-16.81944	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001052"	"N. Macías"	"1/30/2007"	"Barranco del Agua"	"Güímar"	"Tenerife"	"Canary Islands"	28.307838	-16.448156	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001053"	"N. Macías"	"1/30/2007"	"Barranco del Agua"	"Güímar"	"Tenerife"	"Canary Islands"	28.307838	-16.448156	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001070"	"N. Macías & R. Castro"	"2/1/2007"	"Pista a Madre del Agua- Barranco del Río"	"Vilaflor"	"Tenerife"	"Canary Islands"	28.17731	-16.601628	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001071"	"N. Macías & R. Castro"	"2/1/2007"	"Pista a Madre del Agua- Barranco del Río"	"Vilaflor"	"Tenerife"	"Canary Islands"	28.17731	-16.601628	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001073"	"N. Macías & H. Morales"	"1/16/2007"	"Cumbres de Arico. Pista de Izaña"	"Arico"	"Tenerife"	"Canary Islands"	28.249217	-16.528748	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001075"	"N. Macías & H. Morales"	"1/16/2007"	"Cumbres de Arico. Pista de Izaña"	"Arico"	"Tenerife"	"Canary Islands"	28.249217	-16.528748	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001076"	"N. Macías & H. Morales"	"1/16/2007"	"Cumbres de Arico. Pista de Izaña"	"Arico"	"Tenerife"	"Canary Islands"	28.249217	-16.528748	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001101"	"N. Macías & S. de la Cruz"	"12/25/2006"	"Orticosa. Choza de la Loca"	"Arafo"	"Tenerife"	"Canary Islands"	28.384498	-16.44741	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001104"	"N. Macías & M. Rezac"	"3/1/2006"	"Las Lajas. Zona recreativa"	"Vilaflor"	"Tenerife"	"Canary Islands"	28.190338	-16.669163	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001105"	"M. Rezac"	"3/9/2006"	"Caldera de Pedro Gil"	"Arico"	"Tenerife"	"Canary Islands"	28.248283	-16.529917	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001106"	"M. Rezac"	"3/9/2006"	"Caldera de Pedro Gil"	"Arico"	"Tenerife"	"Canary Islands"	28.248283	-16.529917	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001107"	"M. Rezac"	"3/9/2006"	"Caldera de Pedro Gil"	"Arico"	"Tenerife"	"Canary Islands"	28.248283	-16.529917	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001114"	"N. Macías & M. Rezac"	"3/1/2006"	"Barranco de los Cochinos. Monte del Agua"	"Los Silos"	"Tenerife"	"Canary Islands"	28.32455	-16.81944	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001146"	"N. Macías"	"3/27/2007"	"La Fortaleza (pinar). P.N. del Teide"	"La Orotava"	"Tenerife"	"Canary Islands"	28.316723	-16.59124	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001147"	"N. Macías"	"3/27/2007"	"La Fortaleza (pinar). P.N. del Teide"	"La Orotava"	"Tenerife"	"Canary Islands"	28.316723	-16.59124	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001150"	"N. Macías"	"3/27/2007"	"La Fortaleza (pinar). P.N. del Teide"	"La Orotava"	"Tenerife"	"Canary Islands"	28.316723	-16.59124	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001182"	"N. Macías & R. Castro"	"4/4/2007"	"Mirador sobre La Rosa de Piedra"	"La Orotava"	"Tenerife"	"Canary Islands"	28.339491	-16.524285	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001205"	"GIET"	"4/10/2007"	"El Guanche. Pista a Chimoche. Aguamansa"	"La Orotava"	"Tenerife"	"Canary Islands"	28.347186	-16.51402	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001206"	"GIET"	"4/10/2007"	"El Guanche. Pista a Chimoche. Aguamansa"	"La Orotava"	"Tenerife"	"Canary Islands"	28.347186	-16.51402	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001340"	"N. Macías & S. de la Cruz"	"5/4/2007"	"Montaña Chusqueros. Siete Cañadas"	"La Orotava"	"Tenerife"	"Canary Islands"	28.29224	-16.559003	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001360"	"M. Rezac"	"3/8/2006"	"Las Raíces"	"El Rosario"	"Tenerife"	"Canary Islands"	28.43558	-16.3735	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002577"	"N. Macías"	"5/27/2013"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002585"	"N. Macías"	"5/27/2013"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002586"	"N. Macías"	"5/27/2013"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002587"	"N. Macías"	"5/27/2013"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002589"	"N. Macías"	"5/27/2013"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002593"	"N. Macías"	"5/27/2013"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"UB3123/132"	"P. Oromí"	"3/16/1996"	"Roque del Conde"	"Adeje"	"Tenerife"	"Canary Islands"	28.093144	-16.69889	"Dysdera"	"Western Canarian"	"verneaui"
"UB3124_132 freezer"	"P. Oromí"	"3/16/1996"	"Roque del Conde"	"Adeje"	"Tenerife"	"Canary Islands"	28.093144	-16.69889	"Dysdera"	"Western Canarian"	"verneaui"
"UB3171_134 Freezer"	"Zurita N."	"5/2/1996"	"Las Cañadas del Teide"	"La Orotava"	"Tenerife"	"Canary Islands"	28.288195	-16.57339	"Dysdera"	"Western Canarian"	"verneaui"
"UB3181_135"	"M. A. Arnedo"	"11/30/1993"	"Barranco de los Cochinos. Monte del Agua"	"Los Silos"	"Tenerife"	"Canary Islands"	28.32455	-16.81944	"Dysdera"	"Western Canarian"	"verneaui"
"UB4797 (T22)"	"Arnedo & Fluhr"	"11/1/1993"	"Madre del Agua"	"Granadilla"	"Tenerife"	"Canary Islands"	28.169368	-16.630688	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000698"	"N. Macías"	"5/14/2006"	"Camino La Ensillada-Chamorga, Anaga"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.556209	-16.179828	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000977"	"N. Macías"	"5/14/2006"	"Camino a Ichires. Anaga"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.540023	-16.231988	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000979"	"N. Macías"	"5/14/2006"	"Camino a Ichires. Anaga"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.540023	-16.231988	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000999"	"H. Contreras"	"1/25/2002"	"Barranco del Agua"	"Güímar"	"Tenerife"	"Canary Islands"	28.307838	-16.448156	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001054"	"N. Macías"	"1/30/2007"	"Barranco del Agua"	"Güímar"	"Tenerife"	"Canary Islands"	28.307838	-16.448156	"Dysdera"	"Western Canarian"	"verneaui"
